Match Number,Round Number,Date,Location,Home Team,Away Team,Round Number2,GameNo,gameid_new,,gameid,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
1,1,16/03/2022 19:10,MCG,Melbourne,Western Bulldogs,1,1,2022R0101,,2022R101,2022,R1,16/03/2022,MCG,7:10:00 PM,0,Melbourne,0,Western Bulldogs, , ,,,,,
2,1,17/03/2022 19:25,MCG,Carlton,Richmond,1,2,2022R0102,,2022R102,2022,R1,17/03/2022,MCG,7:25:00 PM,0,Carlton,0,Richmond, , ,,,,,
3,1,18/03/2022 19:50,Marvel Stadium,St Kilda,Collingwood,1,3,2022R0103,,2022R103,2022,R1,18/03/2022,Marvel Stadium,7:50:00 PM,0,St Kilda,0,Collingwood, , ,,,,,
4,1,19/03/2022 14:10,MCG,Geelong Cats,Essendon,1,4,2022R0104,,2022R104,2022,R1,19/03/2022,MCG,2:10:00 PM,0,Geelong Cats,0,Essendon, , ,,,,,
5,1,19/03/2022 17:10,Accor Stadium Australia,GWS Giants,Sydney Swans,1,5,2022R0105,,2022R105,2022,R1,19/03/2022,Accor Stadium Australia,5:10:00 PM,0,GWS Giants,0,Sydney Swans, , ,,,,,
6,1,19/03/2022 20:10,Gabba,Brisbane Lions,Port Adelaide,1,6,2022R0106,,2022R106,2022,R1,19/03/2022,Gabba,8:10:00 PM,0,Brisbane Lions,0,Port Adelaide, , ,,,,,
7,1,20/03/2022 13:10,MCG,Hawthorn,North Melbourne,1,7,2022R0107,,2022R107,2022,R1,20/03/2022,MCG,1:10:00 PM,0,Hawthorn,0,North Melbourne, , ,,,,,
8,1,20/03/2022 16:10,Adelaide Oval,Adelaide Crows,Fremantle,1,8,2022R0108,,2022R108,2022,R1,20/03/2022,Adelaide Oval,4:10:00 PM,0,Adelaide Crows,0,Fremantle, , ,,,,,
9,1,20/03/2022 19:40,Optus Stadium,West Coast Eagles,Gold Coast Suns,1,9,2022R0109,,2022R109,2022,R1,20/03/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Gold Coast Suns, , ,,,,,
10,2,24/03/2022 19:20,Marvel Stadium,Western Bulldogs,Carlton,2,1,2022R0201,,2022R201,2022,R2,24/03/2022,Marvel Stadium,7:20:00 PM,0,Western Bulldogs,0,Carlton, , ,,,,,
11,2,25/03/2022 19:50,SCG,Sydney Swans,Geelong Cats,2,2,2022R0202,,2022R202,2022,R2,25/03/2022,SCG,7:50:00 PM,0,Sydney Swans,0,Geelong Cats, , ,,,,,
12,2,26/03/2022 13:45,MCG,Collingwood,Adelaide Crows,2,3,2022R0203,,2022R203,2022,R2,26/03/2022,MCG,1:45:00 PM,0,Collingwood,0,Adelaide Crows, , ,,,,,
13,2,26/03/2022 16:35,Marvel Stadium,Essendon,Brisbane Lions,2,4,2022R0204,,2022R204,2022,R2,26/03/2022,Marvel Stadium,4:35:00 PM,0,Essendon,0,Brisbane Lions, , ,,,,,
14,2,26/03/2022 19:40,Adelaide Oval,Port Adelaide,Hawthorn,2,5,2022R0205,,2022R205,2022,R2,26/03/2022,Adelaide Oval,7:40:00 PM,0,Port Adelaide,0,Hawthorn, , ,,,,,
15,2,26/03/2022 20:00,Metricon Stadium,Gold Coast Suns,Melbourne,2,6,2022R0206,,2022R206,2022,R2,26/03/2022,Metricon Stadium,8:00:00 PM,0,Gold Coast Suns,0,Melbourne, , ,,,,,
16,2,27/03/2022 13:10,Marvel Stadium,North Melbourne,West Coast Eagles,2,7,2022R0207,,2022R207,2022,R2,27/03/2022,Marvel Stadium,1:10:00 PM,0,North Melbourne,0,West Coast Eagles, , ,,,,,
17,2,27/03/2022 15:20,MCG,Richmond,GWS Giants,2,8,2022R0208,,2022R208,2022,R2,27/03/2022,MCG,3:20:00 PM,0,Richmond,0,GWS Giants, , ,,,,,
18,2,27/03/2022 18:20,Optus Stadium,Fremantle,St Kilda,2,9,2022R0209,,2022R209,2022,R2,27/03/2022,Optus Stadium,6:20:00 PM,0,Fremantle,0,St Kilda, , ,,,,,
19,3,31/03/2022 19:20,Marvel Stadium,Western Bulldogs,Sydney Swans,3,1,2022R0301,,2022R301,2022,R3,31/03/2022,Marvel Stadium,7:20:00 PM,0,Western Bulldogs,0,Sydney Swans, , ,,,,,
20,3,1/04/2022 19:20,MCG,Melbourne,Essendon,3,2,2022R0302,,2022R302,2022,R3,1/04/2022,MCG,7:20:00 PM,0,Melbourne,0,Essendon, , ,,,,,
21,3,1/04/2022 20:20,Adelaide Oval,Adelaide Crows,Port Adelaide,3,3,2022R0303,,2022R303,2022,R3,1/04/2022,Adelaide Oval,8:20:00 PM,0,Adelaide Crows,0,Port Adelaide, , ,,,,,
22,3,2/04/2022 13:10,GIANTS Stadium,GWS Giants,Gold Coast Suns,3,4,2022R0304,,2022R304,2022,R3,2/04/2022,GIANTS Stadium,1:10:00 PM,0,GWS Giants,0,Gold Coast Suns, , ,,,,,
23,3,2/04/2022 19:25,MCG,Collingwood,Geelong Cats,3,5,2022R0305,,2022R305,2022,R3,2/04/2022,MCG,7:25:00 PM,0,Collingwood,0,Geelong Cats, , ,,,,,
24,3,2/04/2022 20:00,Gabba,Brisbane Lions,North Melbourne,3,6,2022R0306,,2022R306,2022,R3,2/04/2022,Gabba,8:00:00 PM,0,Brisbane Lions,0,North Melbourne, , ,,,,,
25,3,3/04/2022 13:10,MCG,Carlton,Hawthorn,3,7,2022R0307,,2022R307,2022,R3,3/04/2022,MCG,1:10:00 PM,0,Carlton,0,Hawthorn, , ,,,,,
26,3,3/04/2022 15:20,Marvel Stadium,St Kilda,Richmond,3,8,2022R0308,,2022R308,2022,R3,3/04/2022,Marvel Stadium,3:20:00 PM,0,St Kilda,0,Richmond, , ,,,,,
27,3,3/04/2022 18:20,Optus Stadium,West Coast Eagles,Fremantle,3,9,2022R0309,,2022R309,2022,R3,3/04/2022,Optus Stadium,6:20:00 PM,0,West Coast Eagles,0,Fremantle, , ,,,,,
28,4,7/04/2022 19:40,Adelaide Oval,Port Adelaide,Melbourne,4,1,2022R0401,,2022R401,2022,R4,7/04/2022,Adelaide Oval,7:40:00 PM,0,Port Adelaide,0,Melbourne, , ,,,,,
29,4,8/04/2022 19:50,GMHBA Stadium,Geelong Cats,Brisbane Lions,4,2,2022R0402,,2022R402,2022,R4,8/04/2022,GMHBA Stadium,7:50:00 PM,0,Geelong Cats,0,Brisbane Lions, , ,,,,,
30,4,9/04/2022 13:45,SCG,Sydney Swans,North Melbourne,4,3,2022R0403,,2022R403,2022,R4,9/04/2022,SCG,1:45:00 PM,0,Sydney Swans,0,North Melbourne, , ,,,,,
31,4,9/04/2022 16:35,Marvel Stadium,Collingwood,West Coast Eagles,4,4,2022R0404,,2022R404,2022,R4,9/04/2022,Marvel Stadium,4:35:00 PM,0,Collingwood,0,West Coast Eagles, , ,,,,,
32,4,9/04/2022 19:25,MCG,Richmond,Western Bulldogs,4,5,2022R0405,,2022R405,2022,R4,9/04/2022,MCG,7:25:00 PM,0,Richmond,0,Western Bulldogs, , ,,,,,
33,4,9/04/2022 19:25,Optus Stadium,Fremantle,GWS Giants,4,6,2022R0406,,2022R406,2022,R4,9/04/2022,Optus Stadium,7:25:00 PM,0,Fremantle,0,GWS Giants, , ,,,,,
34,4,10/04/2022 13:10,Marvel Stadium,Essendon,Adelaide Crows,4,7,2022R0407,,2022R407,2022,R4,10/04/2022,Marvel Stadium,1:10:00 PM,0,Essendon,0,Adelaide Crows, , ,,,,,
35,4,10/04/2022 15:20,MCG,Hawthorn,St Kilda,4,8,2022R0408,,2022R408,2022,R4,10/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,St Kilda, , ,,,,,
36,4,10/04/2022 16:10,Metricon Stadium,Gold Coast Suns,Carlton,4,9,2022R0409,,2022R409,2022,R4,10/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Carlton, , ,,,,,
37,5,14/04/2022 19:35,Gabba,Brisbane Lions,Collingwood,5,1,2022R0501,,2022R501,2022,R5,14/04/2022,Gabba,7:35:00 PM,0,Brisbane Lions,0,Collingwood, , ,,,,,
38,5,15/04/2022 16:20,Marvel Stadium,North Melbourne,Western Bulldogs,5,2,2022R0502,,2022R502,2022,R5,15/04/2022,Marvel Stadium,4:20:00 PM,0,North Melbourne,0,Western Bulldogs, , ,,,,,
39,5,15/04/2022 19:40,Optus Stadium,West Coast Eagles,Sydney Swans,5,3,2022R0503,,2022R503,2022,R5,15/04/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Sydney Swans, , ,,,,,
40,5,16/04/2022 13:45,Marvel Stadium,St Kilda,Gold Coast Suns,5,4,2022R0504,,2022R504,2022,R5,16/04/2022,Marvel Stadium,1:45:00 PM,0,St Kilda,0,Gold Coast Suns, , ,,,,,
41,5,16/04/2022 16:35,Adelaide Oval,Adelaide Crows,Richmond,5,5,2022R0505,,2022R505,2022,R5,16/04/2022,Adelaide Oval,4:35:00 PM,0,Adelaide Crows,0,Richmond, , ,,,,,
42,5,16/04/2022 19:25,MCG,Melbourne,GWS Giants,5,6,2022R0506,,2022R506,2022,R5,16/04/2022,MCG,7:25:00 PM,0,Melbourne,0,GWS Giants, , ,,,,,
43,5,17/04/2022 13:40,MCG,Carlton,Port Adelaide,5,7,2022R0507,,2022R507,2022,R5,17/04/2022,MCG,1:40:00 PM,0,Carlton,0,Port Adelaide, , ,,,,,
44,5,17/04/2022 16:40,Marvel Stadium,Essendon,Fremantle,5,8,2022R0508,,2022R508,2022,R5,17/04/2022,Marvel Stadium,4:40:00 PM,0,Essendon,0,Fremantle, , ,,,,,
45,5,18/04/2022 15:20,MCG,Hawthorn,Geelong Cats,5,9,2022R0509,,2022R509,2022,R5,18/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,Geelong Cats, , ,,,,,
46,6,22/04/2022 19:50,Manuka Oval,GWS Giants,St Kilda,6,1,2022R0601,,2022R601,2022,R6,22/04/2022,Manuka Oval,7:50:00 PM,0,GWS Giants,0,St Kilda, , ,,,,,
47,6,23/04/2022 13:45,Mars Stadium,Western Bulldogs,Adelaide Crows,6,2,2022R0602,,2022R602,2022,R6,23/04/2022,Mars Stadium,1:45:00 PM,0,Western Bulldogs,0,Adelaide Crows, , ,,,,,
48,6,23/04/2022 16:35,Adelaide Oval,Port Adelaide,West Coast Eagles,6,3,2022R0603,,2022R603,2022,R6,23/04/2022,Adelaide Oval,4:35:00 PM,0,Port Adelaide,0,West Coast Eagles, , ,,,,,
49,6,23/04/2022 19:40,Optus Stadium,Fremantle,Carlton,6,4,2022R0604,,2022R604,2022,R6,23/04/2022,Optus Stadium,7:40:00 PM,0,Fremantle,0,Carlton, , ,,,,,
50,6,24/04/2022 13:10,Blundstone Arena,North Melbourne,Geelong Cats,6,5,2022R0605,,2022R605,2022,R6,24/04/2022,Blundstone Arena,1:10:00 PM,0,North Melbourne,0,Geelong Cats, , ,,,,,
51,6,24/04/2022 16:10,Metricon Stadium,Gold Coast Suns,Brisbane Lions,6,6,2022R0606,,2022R606,2022,R6,24/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Brisbane Lions, , ,,,,,
52,6,24/04/2022 19:25,MCG,Richmond,Melbourne,6,7,2022R0607,,2022R607,2022,R6,24/04/2022,MCG,7:25:00 PM,0,Richmond,0,Melbourne, , ,,,,,
53,6,25/04/2022 12:30,University of Tasmania Stadium,Hawthorn,Sydney Swans,6,8,2022R0608,,2022R608,2022,R6,25/04/2022,University of Tasmania Stadium,12:30:00 PM,0,Hawthorn,0,Sydney Swans, , ,,,,,
54,6,25/04/2022 15:20,MCG,Essendon,Collingwood,6,9,2022R0609,,2022R609,2022,R6,25/04/2022,MCG,3:20:00 PM,0,Essendon,0,Collingwood, , ,,,,,
55,7,29/04/2022 20:10,Optus Stadium,West Coast Eagles,Richmond,7,1,2022R0701,,2022R701,2022,R7,29/04/2022,Optus Stadium,8:10:00 PM,0,West Coast Eagles,0,Richmond, , ,,,,,
56,7,30/04/2022 13:45,GMHBA Stadium,Geelong Cats,Fremantle,7,2,2022R0702,,2022R702,2022,R7,30/04/2022,GMHBA Stadium,1:45:00 PM,0,Geelong Cats,0,Fremantle, , ,,,,,
57,7,30/04/2022 14:10,Adelaide Oval,Adelaide Crows,GWS Giants,7,3,2022R0703,,2022R703,2022,R7,30/04/2022,Adelaide Oval,2:10:00 PM,0,Adelaide Crows,0,GWS Giants, , ,,,,,
58,7,30/04/2022 16:35,MCG,Melbourne,Hawthorn,7,4,2022R0704,,2022R704,2022,R7,30/04/2022,MCG,4:35:00 PM,0,Melbourne,0,Hawthorn, , ,,,,,
59,7,30/04/2022 19:25,Cazalys Stadium,St Kilda,Port Adelaide,7,5,2022R0705,,2022R705,2022,R7,30/04/2022,Cazalys Stadium,7:25:00 PM,0,St Kilda,0,Port Adelaide, , ,,,,,
60,7,30/04/2022 19:25,Marvel Stadium,Carlton,North Melbourne,7,6,2022R0706,,2022R706,2022,R7,30/04/2022,Marvel Stadium,7:25:00 PM,0,Carlton,0,North Melbourne, , ,,,,,
61,7,1/05/2022 13:10,MCG,Collingwood,Gold Coast Suns,7,7,2022R0707,,2022R707,2022,R7,1/05/2022,MCG,1:10:00 PM,0,Collingwood,0,Gold Coast Suns, , ,,,,,
62,7,1/05/2022 15:20,Marvel Stadium,Western Bulldogs,Essendon,7,8,2022R0708,,2022R708,2022,R7,1/05/2022,Marvel Stadium,3:20:00 PM,0,Western Bulldogs,0,Essendon, , ,,,,,
63,7,1/05/2022 16:40,SCG,Sydney Swans,Brisbane Lions,7,9,2022R0709,,2022R709,2022,R7,1/05/2022,SCG,4:40:00 PM,0,Sydney Swans,0,Brisbane Lions, , ,,,,,
64,8,6/05/2022 19:30,Adelaide Oval,Port Adelaide,Western Bulldogs,8,1,2022R0801,,2022R801,2022,R8,6/05/2022,Adelaide Oval,7:30:00 PM,0,Port Adelaide,0,Western Bulldogs, , ,,,,,
65,8,6/05/2022 20:40,Optus Stadium,Fremantle,North Melbourne,8,2,2022R0802,,2022R802,2022,R8,6/05/2022,Optus Stadium,8:40:00 PM,0,Fremantle,0,North Melbourne, , ,,,,,
66,8,7/05/2022 13:45,MCG,Richmond,Collingwood,8,3,2022R0803,,2022R803,2022,R8,7/05/2022,MCG,1:45:00 PM,0,Richmond,0,Collingwood, , ,,,,,
67,8,7/05/2022 13:45,SCG,Sydney Swans,Gold Coast Suns,8,4,2022R0804,,2022R804,2022,R8,7/05/2022,SCG,1:45:00 PM,0,Sydney Swans,0,Gold Coast Suns, , ,,,,,
68,8,7/05/2022 16:35,Manuka Oval,GWS Giants,Geelong Cats,8,5,2022R0805,,2022R805,2022,R8,7/05/2022,Manuka Oval,4:35:00 PM,0,GWS Giants,0,Geelong Cats, , ,,,,,
69,8,7/05/2022 19:25,Marvel Stadium,Essendon,Hawthorn,8,6,2022R0806,,2022R806,2022,R8,7/05/2022,Marvel Stadium,7:25:00 PM,0,Essendon,0,Hawthorn, , ,,,,,
70,8,7/05/2022 19:25,Gabba,Brisbane Lions,West Coast Eagles,8,7,2022R0807,,2022R807,2022,R8,7/05/2022,Gabba,7:25:00 PM,0,Brisbane Lions,0,West Coast Eagles, , ,,,,,
71,8,8/05/2022 13:10,MCG,Melbourne,St Kilda,8,8,2022R0808,,2022R808,2022,R8,8/05/2022,MCG,1:10:00 PM,0,Melbourne,0,St Kilda, , ,,,,,
72,8,8/05/2022 16:40,Marvel Stadium,Carlton,Adelaide Crows,8,9,2022R0809,,2022R809,2022,R8,8/05/2022,Marvel Stadium,4:40:00 PM,0,Carlton,0,Adelaide Crows, , ,,,,,
73,9,13/05/2022 19:50,Marvel Stadium,Collingwood,Western Bulldogs,9,1,2022R0901,,2022R901,2022,R9,13/05/2022,Marvel Stadium,7:50:00 PM,0,Collingwood,0,Western Bulldogs, , ,,,,,
74,9,14/05/2022 13:45,MCG,Hawthorn,Richmond,9,2,2022R0902,,2022R902,2022,R9,14/05/2022,MCG,1:45:00 PM,0,Hawthorn,0,Richmond, , ,,,,,
75,9,14/05/2022 14:10,Blundstone Arena,North Melbourne,Port Adelaide,9,3,2022R0903,,2022R903,2022,R9,14/05/2022,Blundstone Arena,2:10:00 PM,0,North Melbourne,0,Port Adelaide, , ,,,,,
76,9,14/05/2022 16:35,Marvel Stadium,St Kilda,Geelong Cats,9,4,2022R0904,,2022R904,2022,R9,14/05/2022,Marvel Stadium,4:35:00 PM,0,St Kilda,0,Geelong Cats, , ,,,,,
77,9,14/05/2022 19:25,SCG,Sydney Swans,Essendon,9,5,2022R0905,,2022R905,2022,R9,14/05/2022,SCG,7:25:00 PM,0,Sydney Swans,0,Essendon, , ,,,,,
78,9,14/05/2022 19:40,Adelaide Oval,Adelaide Crows,Brisbane Lions,9,6,2022R0906,,2022R906,2022,R9,14/05/2022,Adelaide Oval,7:40:00 PM,0,Adelaide Crows,0,Brisbane Lions, , ,,,,,
79,9,15/05/2022 13:40,Metricon Stadium,Gold Coast Suns,Fremantle,9,7,2022R0907,,2022R907,2022,R9,15/05/2022,Metricon Stadium,1:40:00 PM,0,Gold Coast Suns,0,Fremantle, , ,,,,,
80,9,15/05/2022 15:20,GIANTS Stadium,GWS Giants,Carlton,9,8,2022R0908,,2022R908,2022,R9,15/05/2022,GIANTS Stadium,3:20:00 PM,0,GWS Giants,0,Carlton, , ,,,,,
81,9,15/05/2022 17:20,Optus Stadium,West Coast Eagles,Melbourne,9,9,2022R0909,,2022R909,2022,R9,15/05/2022,Optus Stadium,5:20:00 PM,0,West Coast Eagles,0,Melbourne, , ,,,,,
82,10,20/05/2022 12:00,Marvel Stadium,Carlton,Sydney Swans,10,1,2022R1001,,2022R1001,2022,R10,20/05/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,Sydney Swans, , ,,,,,
83,10,20/05/2022 12:00,GMHBA Stadium,Geelong Cats,Port Adelaide,10,2,2022R1002,,2022R1002,2022,R10,20/05/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Port Adelaide, , ,,,,,
84,10,20/05/2022 12:00,GIANTS Stadium,GWS Giants,West Coast Eagles,10,3,2022R1003,,2022R1003,2022,R10,20/05/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,West Coast Eagles, , ,,,,,
85,10,20/05/2022 12:00,University of Tasmania Stadium,Hawthorn,Brisbane Lions,10,4,2022R1004,,2022R1004,2022,R10,20/05/2022,University of Tasmania Stadium,12:00:00 PM,0,Hawthorn,0,Brisbane Lions, , ,,,,,
86,10,20/05/2022 12:00,Marvel Stadium,North Melbourne,Melbourne,10,5,2022R1005,,2022R1005,2022,R10,20/05/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Melbourne, , ,,,,,
87,10,20/05/2022 12:00,MCG,Richmond,Essendon,10,6,2022R1006,,2022R1006,2022,R10,20/05/2022,MCG,12:00:00 PM,0,Richmond,0,Essendon, , ,,,,,
88,10,20/05/2022 12:00,Mars Stadium,Western Bulldogs,Gold Coast Suns,10,7,2022R1007,,2022R1007,2022,R10,20/05/2022,Mars Stadium,12:00:00 PM,0,Western Bulldogs,0,Gold Coast Suns, , ,,,,,
89,10,20/05/2022 12:30,Adelaide Oval,Adelaide Crows,St Kilda,10,8,2022R1008,,2022R1008,2022,R10,20/05/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,St Kilda, , ,,,,,
90,10,20/05/2022 14:00,Optus Stadium,Fremantle,Collingwood,10,9,2022R1009,,2022R1009,2022,R10,20/05/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Collingwood, , ,,,,,
91,11,27/05/2022 12:00,Gabba,Brisbane Lions,GWS Giants,11,1,2022R1101,,2022R1101,2022,R11,27/05/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,GWS Giants, , ,,,,,
92,11,27/05/2022 12:00,MCG,Collingwood,Carlton,11,2,2022R1102,,2022R1102,2022,R11,27/05/2022,MCG,12:00:00 PM,0,Collingwood,0,Carlton, , ,,,,,
93,11,27/05/2022 12:00,GMHBA Stadium,Geelong Cats,Adelaide Crows,11,3,2022R1103,,2022R1103,2022,R11,27/05/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Adelaide Crows, , ,,,,,
94,11,27/05/2022 12:00,MCG,Melbourne,Fremantle,11,4,2022R1104,,2022R1104,2022,R11,27/05/2022,MCG,12:00:00 PM,0,Melbourne,0,Fremantle, , ,,,,,
95,11,27/05/2022 12:00,Marvel Stadium,St Kilda,North Melbourne,11,5,2022R1105,,2022R1105,2022,R11,27/05/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,North Melbourne, , ,,,,,
96,11,27/05/2022 12:00,SCG,Sydney Swans,Richmond,11,6,2022R1106,,2022R1106,2022,R11,27/05/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Richmond, , ,,,,,
97,11,27/05/2022 12:30,TIO Stadium,Gold Coast Suns,Hawthorn,11,7,2022R1107,,2022R1107,2022,R11,27/05/2022,TIO Stadium,12:30:00 PM,0,Gold Coast Suns,0,Hawthorn, , ,,,,,
98,11,27/05/2022 12:30,Adelaide Oval,Port Adelaide,Essendon,11,8,2022R1108,,2022R1108,2022,R11,27/05/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Essendon, , ,,,,,
99,11,27/05/2022 14:00,Optus Stadium,West Coast Eagles,Western Bulldogs,11,9,2022R1109,,2022R1109,2022,R11,27/05/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Western Bulldogs, , ,,,,,
100,12,3/06/2022 12:00,MCG,Hawthorn,Collingwood,12,1,2022R1201,,2022R1201,2022,R12,3/06/2022,MCG,12:00:00 PM,0,Hawthorn,0,Collingwood, , ,,,,,
101,12,3/06/2022 12:00,MCG,Melbourne,Sydney Swans,12,2,2022R1202,,2022R1202,2022,R12,3/06/2022,MCG,12:00:00 PM,0,Melbourne,0,Sydney Swans, , ,,,,,
102,12,3/06/2022 12:00,Marvel Stadium,Western Bulldogs,Geelong Cats,12,3,2022R1203,,2022R1203,2022,R12,3/06/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Geelong Cats, , ,,,,,
103,12,3/06/2022 12:30,Adelaide Oval,Adelaide Crows,West Coast Eagles,12,4,2022R1204,,2022R1204,2022,R12,3/06/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,West Coast Eagles, , ,,,,,
104,12,3/06/2022 12:30,TIO Stadium,Gold Coast Suns,North Melbourne,12,5,2022R1205,,2022R1205,2022,R12,3/06/2022,TIO Stadium,12:30:00 PM,0,Gold Coast Suns,0,North Melbourne, , ,,,,,
