Match Number,Round Number,Date,Location,Home Team,Away Team,Round Number2,GameNo,gameid_new,,gameid,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
105,12,3/06/2022 14:00,Optus Stadium,Fremantle,Brisbane Lions,12,6,2022R1206,,2022R1206,2022,R12,3/06/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Brisbane Lions, , ,,,,,
106,13,10/06/2022 12:00,Gabba,Brisbane Lions,St Kilda,13,1,2022R1301,,2022R1301,2022,R13,10/06/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,St Kilda, , ,,,,,
107,13,10/06/2022 12:00,MCG,Collingwood,Melbourne,13,2,2022R1302,,2022R1302,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Collingwood,0,Melbourne, , ,,,,,
108,13,10/06/2022 12:00,MCG,Essendon,Carlton,13,3,2022R1303,,2022R1303,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Essendon,0,Carlton, , ,,,,,
109,13,10/06/2022 12:00,Marvel Stadium,North Melbourne,GWS Giants,13,4,2022R1304,,2022R1304,2022,R13,10/06/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,GWS Giants, , ,,,,,
110,13,10/06/2022 12:00,MCG,Richmond,Port Adelaide,13,5,2022R1305,,2022R1305,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Richmond,0,Port Adelaide, , ,,,,,
111,13,10/06/2022 14:00,Optus Stadium,Fremantle,Hawthorn,13,6,2022R1306,,2022R1306,2022,R13,10/06/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Hawthorn, , ,,,,,
112,14,17/06/2022 12:00,Metricon Stadium,Gold Coast Suns,Adelaide Crows,14,1,2022R1401,,2022R1401,2022,R14,17/06/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Adelaide Crows, , ,,,,,
113,14,17/06/2022 12:00,GIANTS Stadium,GWS Giants,Western Bulldogs,14,2,2022R1402,,2022R1402,2022,R14,17/06/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Western Bulldogs, , ,,,,,
114,14,17/06/2022 12:00,MCG,Richmond,Carlton,14,3,2022R1403,,2022R1403,2022,R14,17/06/2022,MCG,12:00:00 PM,0,Richmond,0,Carlton, , ,,,,,
115,14,17/06/2022 12:00,Marvel Stadium,St Kilda,Essendon,14,4,2022R1404,,2022R1404,2022,R14,17/06/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Essendon, , ,,,,,
116,14,17/06/2022 12:30,Adelaide Oval,Port Adelaide,Sydney Swans,14,5,2022R1405,,2022R1405,2022,R14,17/06/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Sydney Swans, , ,,,,,
117,14,17/06/2022 14:00,Optus Stadium,West Coast Eagles,Geelong Cats,14,6,2022R1406,,2022R1406,2022,R14,17/06/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Geelong Cats, , ,,,,,
118,15,24/06/2022 12:00,Marvel Stadium,Carlton,Fremantle,15,1,2022R1501,,2022R1501,2022,R15,24/06/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,Fremantle, , ,,,,,
119,15,24/06/2022 12:00,MCG,Collingwood,GWS Giants,15,2,2022R1502,,2022R1502,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Collingwood,0,GWS Giants, , ,,,,,
120,15,24/06/2022 12:00,MCG,Geelong Cats,Richmond,15,3,2022R1503,,2022R1503,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Geelong Cats,0,Richmond, , ,,,,,
121,15,24/06/2022 12:00,MCG,Melbourne,Brisbane Lions,15,4,2022R1504,,2022R1504,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Melbourne,0,Brisbane Lions, , ,,,,,
122,15,24/06/2022 12:00,Blundstone Arena,North Melbourne,Adelaide Crows,15,5,2022R1505,,2022R1505,2022,R15,24/06/2022,Blundstone Arena,12:00:00 PM,0,North Melbourne,0,Adelaide Crows, , ,,,,,
123,15,24/06/2022 12:00,SCG,Sydney Swans,St Kilda,15,6,2022R1506,,2022R1506,2022,R15,24/06/2022,SCG,12:00:00 PM,0,Sydney Swans,0,St Kilda, , ,,,,,
124,15,24/06/2022 12:00,Marvel Stadium,Western Bulldogs,Hawthorn,15,7,2022R1507,,2022R1507,2022,R15,24/06/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Hawthorn, , ,,,,,
125,15,24/06/2022 12:30,Adelaide Oval,Port Adelaide,Gold Coast Suns,15,8,2022R1508,,2022R1508,2022,R15,24/06/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Gold Coast Suns, , ,,,,,
126,15,24/06/2022 14:00,Optus Stadium,West Coast Eagles,Essendon,15,9,2022R1509,,2022R1509,2022,R15,24/06/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Essendon, , ,,,,,
127,16,1/07/2022 12:00,Gabba,Brisbane Lions,Western Bulldogs,16,1,2022R1601,,2022R1601,2022,R16,1/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Western Bulldogs, , ,,,,,
128,16,1/07/2022 12:00,Marvel Stadium,Carlton,St Kilda,16,2,2022R1602,,2022R1602,2022,R16,1/07/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,St Kilda, , ,,,,,
129,16,1/07/2022 12:00,MCG,Essendon,Sydney Swans,16,3,2022R1603,,2022R1603,2022,R16,1/07/2022,MCG,12:00:00 PM,0,Essendon,0,Sydney Swans, , ,,,,,
130,16,1/07/2022 12:00,GMHBA Stadium,Geelong Cats,North Melbourne,16,4,2022R1604,,2022R1604,2022,R16,1/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,North Melbourne, , ,,,,,
131,16,1/07/2022 12:00,Metricon Stadium,Gold Coast Suns,Collingwood,16,5,2022R1605,,2022R1605,2022,R16,1/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Collingwood, , ,,,,,
132,16,1/07/2022 12:00,GIANTS Stadium,GWS Giants,Hawthorn,16,6,2022R1606,,2022R1606,2022,R16,1/07/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Hawthorn, , ,,,,,
133,16,1/07/2022 12:00,MCG,Richmond,West Coast Eagles,16,7,2022R1607,,2022R1607,2022,R16,1/07/2022,MCG,12:00:00 PM,0,Richmond,0,West Coast Eagles, , ,,,,,
134,16,1/07/2022 12:30,Adelaide Oval,Adelaide Crows,Melbourne,16,8,2022R1608,,2022R1608,2022,R16,1/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Melbourne, , ,,,,,
135,16,1/07/2022 14:00,Optus Stadium,Fremantle,Port Adelaide,16,9,2022R1609,,2022R1609,2022,R16,1/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Port Adelaide, , ,,,,,
136,17,8/07/2022 12:00,Gabba,Brisbane Lions,Essendon,17,1,2022R1701,,2022R1701,2022,R17,8/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Essendon, , ,,,,,
137,17,8/07/2022 12:00,MCG,Collingwood,North Melbourne,17,2,2022R1702,,2022R1702,2022,R17,8/07/2022,MCG,12:00:00 PM,0,Collingwood,0,North Melbourne, , ,,,,,
138,17,8/07/2022 12:00,GMHBA Stadium,Geelong Cats,Melbourne,17,3,2022R1703,,2022R1703,2022,R17,8/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Melbourne, , ,,,,,
139,17,8/07/2022 12:00,Metricon Stadium,Gold Coast Suns,Richmond,17,4,2022R1704,,2022R1704,2022,R17,8/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Richmond, , ,,,,,
140,17,8/07/2022 12:00,Marvel Stadium,Hawthorn,Adelaide Crows,17,5,2022R1705,,2022R1705,2022,R17,8/07/2022,Marvel Stadium,12:00:00 PM,0,Hawthorn,0,Adelaide Crows, , ,,,,,
141,17,8/07/2022 12:00,Marvel Stadium,St Kilda,Fremantle,17,6,2022R1706,,2022R1706,2022,R17,8/07/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Fremantle, , ,,,,,
142,17,8/07/2022 12:00,SCG,Sydney Swans,Western Bulldogs,17,7,2022R1707,,2022R1707,2022,R17,8/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Western Bulldogs, , ,,,,,
143,17,8/07/2022 12:30,Adelaide Oval,Port Adelaide,GWS Giants,17,8,2022R1708,,2022R1708,2022,R17,8/07/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,GWS Giants, , ,,,,,
144,17,8/07/2022 14:00,Optus Stadium,West Coast Eagles,Carlton,17,9,2022R1709,,2022R1709,2022,R17,8/07/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Carlton, , ,,,,,
145,18,15/07/2022 12:00,MCG,Carlton,Geelong Cats,18,1,2022R1801,,2022R1801,2022,R18,15/07/2022,MCG,12:00:00 PM,0,Carlton,0,Geelong Cats, , ,,,,,
146,18,15/07/2022 12:00,Marvel Stadium,Essendon,Gold Coast Suns,18,2,2022R1802,,2022R1802,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,Gold Coast Suns, , ,,,,,
147,18,15/07/2022 12:00,Manuka Oval,GWS Giants,Brisbane Lions,18,3,2022R1803,,2022R1803,2022,R18,15/07/2022,Manuka Oval,12:00:00 PM,0,GWS Giants,0,Brisbane Lions, , ,,,,,
148,18,15/07/2022 12:00,MCG,Hawthorn,West Coast Eagles,18,4,2022R1804,,2022R1804,2022,R18,15/07/2022,MCG,12:00:00 PM,0,Hawthorn,0,West Coast Eagles, , ,,,,,
149,18,15/07/2022 12:00,Marvel Stadium,North Melbourne,Richmond,18,5,2022R1805,,2022R1805,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Richmond, , ,,,,,
150,18,15/07/2022 12:00,Marvel Stadium,Western Bulldogs,St Kilda,18,6,2022R1806,,2022R1806,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,St Kilda, , ,,,,,
151,18,15/07/2022 12:30,Adelaide Oval,Adelaide Crows,Collingwood,18,7,2022R1807,,2022R1807,2022,R18,15/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Collingwood, , ,,,,,
152,18,15/07/2022 12:30,TIO Traeger Park,Melbourne,Port Adelaide,18,8,2022R1808,,2022R1808,2022,R18,15/07/2022,TIO Traeger Park,12:30:00 PM,0,Melbourne,0,Port Adelaide, , ,,,,,
153,18,15/07/2022 14:00,Optus Stadium,Fremantle,Sydney Swans,18,9,2022R1809,,2022R1809,2022,R18,15/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Sydney Swans, , ,,,,,
154,19,22/07/2022 12:00,Gabba,Brisbane Lions,Gold Coast Suns,19,1,2022R1901,,2022R1901,2022,R19,22/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Gold Coast Suns, , ,,,,,
155,19,22/07/2022 12:00,Marvel Stadium,Carlton,GWS Giants,19,2,2022R1902,,2022R1902,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,GWS Giants, , ,,,,,
156,19,22/07/2022 12:00,MCG,Collingwood,Essendon,19,3,2022R1903,,2022R1903,2022,R19,22/07/2022,MCG,12:00:00 PM,0,Collingwood,0,Essendon, , ,,,,,
157,19,22/07/2022 12:00,Blundstone Arena,North Melbourne,Hawthorn,19,4,2022R1904,,2022R1904,2022,R19,22/07/2022,Blundstone Arena,12:00:00 PM,0,North Melbourne,0,Hawthorn, , ,,,,,
158,19,22/07/2022 12:00,Marvel Stadium,Richmond,Fremantle,19,5,2022R1905,,2022R1905,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Richmond,0,Fremantle, , ,,,,,
159,19,22/07/2022 12:00,SCG,Sydney Swans,Adelaide Crows,19,6,2022R1906,,2022R1906,2022,R19,22/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Adelaide Crows, , ,,,,,
160,19,22/07/2022 12:00,Marvel Stadium,Western Bulldogs,Melbourne,19,7,2022R1907,,2022R1907,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Melbourne, , ,,,,,
161,19,22/07/2022 12:30,Adelaide Oval,Port Adelaide,Geelong Cats,19,8,2022R1908,,2022R1908,2022,R19,22/07/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Geelong Cats, , ,,,,,
162,19,22/07/2022 14:00,Optus Stadium,West Coast Eagles,St Kilda,19,9,2022R1909,,2022R1909,2022,R19,22/07/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,St Kilda, , ,,,,,
163,20,29/07/2022 12:00,MCG,Collingwood,Port Adelaide,20,1,2022R2001,,2022R2001,2022,R20,29/07/2022,MCG,12:00:00 PM,0,Collingwood,0,Port Adelaide, , ,,,,,
164,20,29/07/2022 12:00,Marvel Stadium,Essendon,North Melbourne,20,2,2022R2002,,2022R2002,2022,R20,29/07/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,North Melbourne, , ,,,,,
165,20,29/07/2022 12:00,GMHBA Stadium,Geelong Cats,Western Bulldogs,20,3,2022R2003,,2022R2003,2022,R20,29/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Western Bulldogs, , ,,,,,
166,20,29/07/2022 12:00,Metricon Stadium,Gold Coast Suns,West Coast Eagles,20,4,2022R2004,,2022R2004,2022,R20,29/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,West Coast Eagles, , ,,,,,
167,20,29/07/2022 12:00,MCG,Richmond,Brisbane Lions,20,5,2022R2005,,2022R2005,2022,R20,29/07/2022,MCG,12:00:00 PM,0,Richmond,0,Brisbane Lions, , ,,,,,
168,20,29/07/2022 12:00,Marvel Stadium,St Kilda,Hawthorn,20,6,2022R2006,,2022R2006,2022,R20,29/07/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Hawthorn, , ,,,,,
169,20,29/07/2022 12:00,SCG,Sydney Swans,GWS Giants,20,7,2022R2007,,2022R2007,2022,R20,29/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,GWS Giants, , ,,,,,
170,20,29/07/2022 12:30,Adelaide Oval,Adelaide Crows,Carlton,20,8,2022R2008,,2022R2008,2022,R20,29/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Carlton, , ,,,,,
171,20,29/07/2022 14:00,Optus Stadium,Fremantle,Melbourne,20,9,2022R2009,,2022R2009,2022,R20,29/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Melbourne, , ,,,,,
172,21,5/08/2022 12:00,Gabba,Brisbane Lions,Carlton,21,1,2022R2101,,2022R2101,2022,R21,5/08/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Carlton, , ,,,,,
173,21,5/08/2022 12:00,GMHBA Stadium,Geelong Cats,St Kilda,21,2,2022R2102,,2022R2102,2022,R21,5/08/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,St Kilda, , ,,,,,
174,21,5/08/2022 12:00,GIANTS Stadium,GWS Giants,Essendon,21,3,2022R2103,,2022R2103,2022,R21,5/08/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Essendon, , ,,,,,
175,21,5/08/2022 12:00,University of Tasmania Stadium,Hawthorn,Gold Coast Suns,21,4,2022R2104,,2022R2104,2022,R21,5/08/2022,University of Tasmania Stadium,12:00:00 PM,0,Hawthorn,0,Gold Coast Suns, , ,,,,,
176,21,5/08/2022 12:00,MCG,Melbourne,Collingwood,21,5,2022R2105,,2022R2105,2022,R21,5/08/2022,MCG,12:00:00 PM,0,Melbourne,0,Collingwood, , ,,,,,
177,21,5/08/2022 12:00,Marvel Stadium,North Melbourne,Sydney Swans,21,6,2022R2106,,2022R2106,2022,R21,5/08/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Sydney Swans, , ,,,,,
178,21,5/08/2022 12:00,Marvel Stadium,Western Bulldogs,Fremantle,21,7,2022R2107,,2022R2107,2022,R21,5/08/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Fremantle, , ,,,,,
179,21,5/08/2022 12:30,Adelaide Oval,Port Adelaide,Richmond,21,8,2022R2108,,2022R2108,2022,R21,5/08/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Richmond, , ,,,,,
180,21,5/08/2022 14:00,Optus Stadium,West Coast Eagles,Adelaide Crows,21,9,2022R2109,,2022R2109,2022,R21,5/08/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Adelaide Crows, , ,,,,,
181,22,12/08/2022 12:00,Marvel Stadium,Essendon,Port Adelaide,22,1,2022R2201,,2022R2201,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,Port Adelaide, , ,,,,,
182,22,12/08/2022 12:00,Metricon Stadium,Gold Coast Suns,Geelong Cats,22,2,2022R2202,,2022R2202,2022,R22,12/08/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Geelong Cats, , ,,,,,
183,22,12/08/2022 12:00,MCG,Melbourne,Carlton,22,3,2022R2203,,2022R2203,2022,R22,12/08/2022,MCG,12:00:00 PM,0,Melbourne,0,Carlton, , ,,,,,
184,22,12/08/2022 12:00,MCG,Richmond,Hawthorn,22,4,2022R2204,,2022R2204,2022,R22,12/08/2022,MCG,12:00:00 PM,0,Richmond,0,Hawthorn, , ,,,,,
185,22,12/08/2022 12:00,Marvel Stadium,St Kilda,Brisbane Lions,22,5,2022R2205,,2022R2205,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Brisbane Lions, , ,,,,,
186,22,12/08/2022 12:00,SCG,Sydney Swans,Collingwood,22,6,2022R2206,,2022R2206,2022,R22,12/08/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Collingwood, , ,,,,,
187,22,12/08/2022 12:00,Marvel Stadium,Western Bulldogs,GWS Giants,22,7,2022R2207,,2022R2207,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,GWS Giants, , ,,,,,
188,22,12/08/2022 12:30,Adelaide Oval,Adelaide Crows,North Melbourne,22,8,2022R2208,,2022R2208,2022,R22,12/08/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,North Melbourne, , ,,,,,
189,22,12/08/2022 14:00,Optus Stadium,Fremantle,West Coast Eagles,22,9,2022R2209,,2022R2209,2022,R22,12/08/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,West Coast Eagles, , ,,,,,
190,23,19/08/2022 12:00,Gabba,Brisbane Lions,Melbourne,23,1,2022R2301,,2022R2301,2022,R23,19/08/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Melbourne, , ,,,,,
191,23,19/08/2022 12:00,MCG,Carlton,Collingwood,23,2,2022R2302,,2022R2302,2022,R23,19/08/2022,MCG,12:00:00 PM,0,Carlton,0,Collingwood, , ,,,,,
192,23,19/08/2022 12:00,MCG,Essendon,Richmond,23,3,2022R2303,,2022R2303,2022,R23,19/08/2022,MCG,12:00:00 PM,0,Essendon,0,Richmond, , ,,,,,
193,23,19/08/2022 12:00,GMHBA Stadium,Geelong Cats,West Coast Eagles,23,4,2022R2304,,2022R2304,2022,R23,19/08/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,West Coast Eagles, , ,,,,,
194,23,19/08/2022 12:00,Manuka Oval,GWS Giants,Fremantle,23,5,2022R2305,,2022R2305,2022,R23,19/08/2022,Manuka Oval,12:00:00 PM,0,GWS Giants,0,Fremantle, , ,,,,,
195,23,19/08/2022 12:00,University of Tasmania Stadium,Hawthorn,Western Bulldogs,23,6,2022R2306,,2022R2306,2022,R23,19/08/2022,University of Tasmania Stadium,12:00:00 PM,0,Hawthorn,0,Western Bulldogs, , ,,,,,
196,23,19/08/2022 12:00,Marvel Stadium,North Melbourne,Gold Coast Suns,23,7,2022R2307,,2022R2307,2022,R23,19/08/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Gold Coast Suns, , ,,,,,
197,23,19/08/2022 12:00,Marvel Stadium,St Kilda,Sydney Swans,23,8,2022R2308,,2022R2308,2022,R23,19/08/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Sydney Swans, , ,,,,,
198,23,19/08/2022 12:30,Adelaide Oval,Port Adelaide,Adelaide Crows,23,9,2022R2309,,2022R2309,2022,R23,19/08/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Adelaide Crows, , ,,,,,
199,Finals W1,26/08/2022 10:00,TBA,To be announced,To be announced,24,1,2022R2401,,2022R2401,2022,R24,26/08/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
200,Finals W1,27/08/2022 10:00,TBA,To be announced,To be announced,24,2,2022R2402,,2022R2402,2022,R24,27/08/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
201,Finals W1,27/08/2022 10:00,TBA,To be announced,To be announced,24,3,2022R2403,,2022R2403,2022,R24,27/08/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
202,Finals W1,28/08/2022 10:00,TBA,To be announced,To be announced,24,4,2022R2404,,2022R2404,2022,R24,28/08/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
203,Semi Finals,2/09/2022 10:00,TBA,To be announced,To be announced,25,1,2022R2501,,2022R2501,2022,R25,2/09/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
204,Semi Finals,3/09/2022 10:00,TBA,To be announced,To be announced,25,2,2022R2502,,2022R2502,2022,R25,3/09/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
205,Prelim Finals,9/09/2022 10:00,TBA,To be announced,To be announced,26,1,2022R2601,,2022R2601,2022,R26,9/09/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
206,Prelim Finals,10/09/2022 10:00,TBA,To be announced,To be announced,26,2,2022R2602,,2022R2602,2022,R26,10/09/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
207,Grand Final,24/09/2022 10:00,TBA,To be announced,To be announced,27,1,2022R2701,,2022R2701,2022,R27,24/09/2022,TBA,10:00:00 AM,0,To be announced,0,To be announced, , ,,,,,
